"","species","speciesDBR_all","genusDBR_all","familyDBR_all","orderDBR_all","classDBR_all","speciesDBR_dom","genusDBR_dom","familyDBR_dom","orderDBR_dom","classDBR_dom","speciesDBR_per","genusDBR_per","familyDBR_per","orderDBR_per","classDBR_per","speciesDBR_syl","genusDBR_syl","familyDBR_syl","orderDBR_syl","classDBR_syl","Domiciliary","Peridomiciliary","Sylvatic"
"1","Belminus ferroae",4,4,4,4,2,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"2","Cavernicola pilosa",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"3","Psammolestes arthuri",23,22,17,9,3,15,14,10,4,3,NA,NA,NA,NA,NA,23,22,17,9,3,1,0,1
"4","Psammolestes coreodes",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"5","Psammolestes tertius",7,6,6,7,3,3,3,3,4,3,4,4,4,5,3,5,4,4,5,3,1,1,1
"6","Rhodnius ecuadoriensis",14,12,10,7,2,6,6,6,5,2,10,9,9,6,2,11,11,9,7,2,1,1,1
"7","Rhodnius montenegrensis",13,12,10,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,10,8,3,0,0,1
"8","Rhodnius nasutus",5,5,5,5,2,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,1,1,1
"9","Rhodnius neglectus",10,9,9,9,2,8,8,7,7,2,8,7,6,6,2,8,8,9,9,2,1,1,1
"10","Rhodnius pallescens",56,50,45,20,4,16,16,22,16,4,46,44,42,19,4,54,48,41,17,4,1,1,1
"11","Rhodnius pictipes",12,11,10,8,2,7,7,7,5,2,5,5,5,4,2,9,8,7,7,2,1,1,1
"12","Rhodnius prolixus",61,49,34,17,4,22,18,14,11,2,11,11,11,9,2,51,45,33,16,4,1,1,1
"13","Rhodnius robustus",2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,0,0,1
"14","Rhodnius sp",17,15,13,9,3,1,1,1,1,1,1,1,1,1,1,16,14,12,8,3,1,1,1
"15","Belminus herreri",6,6,6,5,3,6,6,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"16","Eratyrus cuspidatus",2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,0,0,1
"17","Meccus pallidipennis",17,17,13,9,2,17,17,13,9,2,16,16,13,9,2,3,3,3,3,1,1,1,1
"18","Mepraia parapatrica",6,6,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,3,0,0,1
"19","Mepraia spinolai",25,21,16,10,3,10,10,9,7,2,11,11,10,7,2,24,20,15,10,3,1,1,1
"20","Panstrongylus chinai",5,5,5,5,2,5,5,5,5,2,4,4,4,4,2,4,4,4,4,2,1,1,1
"21","Panstrongylus geniculatus",35,31,27,13,2,28,26,23,12,2,17,17,16,10,2,9,9,8,6,1,1,1,1
"22","Panstrongylus howardi",5,5,5,5,3,2,2,2,2,1,5,5,5,5,3,2,2,2,2,1,1,1,1
"23","Panstrongylus lignarius",5,5,5,4,2,5,5,5,4,2,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,1
"24","Panstrongylus lutzi",11,11,12,10,3,11,11,12,10,3,7,7,7,6,3,NA,NA,NA,NA,NA,1,1,0
"25","Panstrongylus megistus",17,14,13,12,3,16,13,13,11,2,16,13,12,11,3,12,10,11,10,2,1,1,1
"26","Panstrongylus rufotuberculatus",3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,1,1,1
"27","Panstrongylus tupynambai",5,5,5,4,2,5,5,5,4,2,5,5,5,4,2,5,5,5,4,2,1,1,1
"28","Paratriatoma hirsuta",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"29","Triatoma barberi",14,14,14,13,3,14,14,14,13,3,14,14,14,13,3,NA,NA,NA,NA,NA,1,1,0
"30","Triatoma brasiliensis",48,39,27,15,5,21,19,15,11,4,30,25,21,12,5,42,34,23,15,5,1,1,1
"31","Triatoma carrioni",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32","Triatoma costalimai",4,4,6,7,3,4,4,6,7,3,4,4,6,7,3,4,4,6,7,3,1,1,1
"33","Triatoma dimidiata",48,37,34,21,6,37,29,26,15,5,30,25,27,19,4,30,27,21,13,4,1,1,1
"34","Triatoma dispar",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"35","Triatoma eratyrusiformis",4,4,4,3,1,NA,NA,NA,NA,NA,3,3,3,3,1,1,1,1,1,1,0,1,1
"36","Triatoma gerstaeckeri",24,24,19,11,4,17,17,14,9,3,20,20,16,9,3,3,3,3,3,2,1,1,1
"37","Triatoma gusayana",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,2,0,0,1
"38","Triatoma indictiva",3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
"39","Triatoma infestans",31,26,22,15,4,17,15,15,13,4,22,19,15,12,3,22,19,18,12,3,1,1,1
"40","Triatoma juazeirensis",4,4,4,3,2,3,3,3,3,2,3,3,3,2,2,NA,NA,NA,NA,NA,1,1,0
"41","Triatoma lecticularia",6,6,5,5,2,3,3,2,2,2,4,4,4,4,2,1,1,1,1,1,1,1,1
"42","Triatoma lenti",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"43","Triatoma longipennis",21,19,14,9,3,2,2,2,2,1,10,9,9,8,2,13,12,10,7,2,1,1,1
"44","Triatoma maculata",19,18,16,13,4,12,12,11,9,2,5,5,6,7,4,8,7,7,8,4,1,1,1
"45","Triatoma melanica",1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0,1,0
"46","Triatoma melanocephala",2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,1,1,0
"47","Triatoma petrocchiae",8,7,7,5,3,4,4,4,4,2,4,4,4,4,2,4,3,3,2,2,1,1,1
"48","Triatoma phyllosoma",9,9,8,6,2,8,8,7,6,2,9,9,8,6,2,NA,NA,NA,NA,NA,1,1,0
"49","Triatoma platensis",1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0,1,0
"50","Triatoma protracta",7,6,6,6,2,2,1,1,1,1,5,5,5,5,1,5,5,5,5,2,1,1,1
"51","Triatoma pseudomaculata",12,11,12,9,4,12,11,12,9,4,11,10,11,9,4,NA,NA,NA,NA,NA,1,1,0
"52","Triatoma recurva",3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,0,0,1
"53","Triatoma rubida",14,13,10,7,2,7,7,7,6,2,10,9,7,4,1,NA,NA,NA,NA,NA,1,1,0
"54","Triatoma rubrofasciata",10,10,10,7,2,10,10,10,7,2,8,8,8,6,2,NA,NA,NA,NA,NA,1,1,0
"55","Triatoma rubrovaria",19,16,15,10,4,16,15,14,10,4,19,16,15,10,4,16,15,14,10,4,1,1,1
"56","Triatoma sanguisuga",27,22,19,12,5,21,16,15,10,4,22,18,16,9,4,6,6,6,5,4,1,1,1
"57","Triatoma sherlocki",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"58","Triatoma sordida",16,14,15,13,4,11,10,11,12,4,14,13,13,12,4,8,7,12,10,3,1,1,1
"59","Triatoma tibiamaculata",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"60","Triatoma venosa",10,10,10,9,2,10,10,10,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61","Triatoma vitticeps",12,11,11,9,2,10,10,11,9,2,8,8,8,7,2,3,3,3,3,1,1,1,1
